id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
5RByQFt9Mlo8hDYJ921tCv,0.629,0.787,5,-8.399,0,0.0646,0.00152,0.359,0.209,0.581,125.998,audio_features,spotify:track:5RByQFt9Mlo8hDYJ921tCv,https://api.spotify.com/v1/tracks/5RByQFt9Mlo8hDYJ921tCv,https://api.spotify.com/v1/audio-analysis/5RByQFt9Mlo8hDYJ921tCv,342627,4
0l08dcPEqNEUhymVBext8h,0.833,0.681,5,-6.248,0,0.356,0.0406,0,0.0926,0.839,85.497,audio_features,spotify:track:0l08dcPEqNEUhymVBext8h,https://api.spotify.com/v1/tracks/0l08dcPEqNEUhymVBext8h,https://api.spotify.com/v1/audio-analysis/0l08dcPEqNEUhymVBext8h,268400,4
4gXdMZkBN1neE9nX6yRALa,0.646,0.796,2,-6.152,1,0.366,0.409,0,0.107,0.676,83.093,audio_features,spotify:track:4gXdMZkBN1neE9nX6yRALa,https://api.spotify.com/v1/tracks/4gXdMZkBN1neE9nX6yRALa,https://api.spotify.com/v1/audio-analysis/4gXdMZkBN1neE9nX6yRALa,265480,4
7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,audio_features,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,290320,4
74MfBIVOVHzQiJqfJ1dgTo,0.826,0.718,10,-10.388,0,0.0555,0.0845,5.44E-06,0.0652,0.884,105.857,audio_features,spotify:track:74MfBIVOVHzQiJqfJ1dgTo,https://api.spotify.com/v1/tracks/74MfBIVOVHzQiJqfJ1dgTo,https://api.spotify.com/v1/audio-analysis/74MfBIVOVHzQiJqfJ1dgTo,252373,4
0Tsp2actykcSvJp3S5K2tM,0.721,0.872,2,-4.811,1,0.0398,0.000783,1.29E-05,0.12,0.779,112.045,audio_features,spotify:track:0Tsp2actykcSvJp3S5K2tM,https://api.spotify.com/v1/tracks/0Tsp2actykcSvJp3S5K2tM,https://api.spotify.com/v1/audio-analysis/0Tsp2actykcSvJp3S5K2tM,207640,4
6vxHp3CDNo0afgKGp2yi1E,0.626,0.816,9,-10.593,1,0.13,0.237,1.80E-06,0.104,0.798,105.33,audio_features,spotify:track:6vxHp3CDNo0afgKGp2yi1E,https://api.spotify.com/v1/tracks/6vxHp3CDNo0afgKGp2yi1E,https://api.spotify.com/v1/audio-analysis/6vxHp3CDNo0afgKGp2yi1E,164813,4
52IuMfbQa9aqRPz2oYPAI8,0.851,0.583,8,-11.022,0,0.286,0.0506,0,0.236,0.956,95.048,audio_features,spotify:track:52IuMfbQa9aqRPz2oYPAI8,https://api.spotify.com/v1/tracks/52IuMfbQa9aqRPz2oYPAI8,https://api.spotify.com/v1/audio-analysis/52IuMfbQa9aqRPz2oYPAI8,265102,4
0uppYCG86ajpV2hSR3dJJ0,0.666,0.936,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.776,91.577,audio_features,spotify:track:0uppYCG86ajpV2hSR3dJJ0,https://api.spotify.com/v1/tracks/0uppYCG86ajpV2hSR3dJJ0,https://api.spotify.com/v1/audio-analysis/0uppYCG86ajpV2hSR3dJJ0,282907,4
1Z7C8ClE8UEaH70jCCeJH2,0.612,0.85,1,-4.703,1,0.5,0.0393,0,0.255,0.781,173.497,audio_features,spotify:track:1Z7C8ClE8UEaH70jCCeJH2,https://api.spotify.com/v1/tracks/1Z7C8ClE8UEaH70jCCeJH2,https://api.spotify.com/v1/audio-analysis/1Z7C8ClE8UEaH70jCCeJH2,204027,4
